Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kbase.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kbase.sys

    00000000 characteristics
    C70CD32F time date stamp
        0.00 version
           1 ordinal base
        2493 number of functions
        2493 number of names

    ordinal hint RVA      name

         71   40 000A1860 ?DestroySessionGlobal@CInputManager@@SAXXZ
         74   41 0002C8D0 ?Dispatch@IOCPDispatcher@@QEAAXW4WaitCompletionPacketPurpose@@K@Z
         75   42 0013B590 ?DispatchFrameAndGetNext@CTouchProcessor@@QEAAPEAXPEAX@Z
         76   43 0013B630 ?DispatchFramePostDelayZoneProcessingAndGetNext@CTouchProcessor@@QEAAPEAXPEAX@Z
         77   44 0013BA30 ?DoDeferredPointerActivate@CTouchProcessor@@QEAAXUtagINPUTDEST@@_K@Z
         78   45 0014D4C0 ?DoEditionCoreMsgKSend@CBaseInput@@QEAAXXZ
         79   46 000A9090 ?DoesCurrentProcessOwnProtectedOutput@CMonitorPDO@OPM@@QEBAEXZ
         80   47 000FCE00 ?DoesProcessOwnProtectedOutput@CMonitorPDO@OPM@@QEBAEPEAX@Z
         81   48 0014C6C0 ?EnableSpeedBump@CCursorClip@@QEAAX_N@Z
         82   49 000B1530 ?EngDeletePaletteInternal@@YAHPEAUHPALETTE__@@K@Z
         83   4A 0014DF70 ?EnterGuard@CInpLockGuard@@QEAAXXZ
         84   4B 000627E0 ?EnumDevices@CBaseInput@@QEBAXPEAXP6A_NQEAUDEVICEINFO@@0@Z@Z
         85   4C 000627A0 ?EnvironmentChanged@CPTPProcessor@@SAXXZ
         86   4D 00135240 ?FilterKeys@@YAHPEAUtagKE@@KH@Z
         87   4E 0014D4F0 ?FindDeviceInfo@CBaseInput@@QEBAPEAUDEVICEINFO@@PEAXH@Z
         88   4F 00150470 ?ForwardInputToISM@CKeyboardProcessor@@SAXHHEGGGPEAX@Z
         89   50 0013C460 ?ForwardInputToManipulationThread@CTouchProcessor@@QEAAXPEBUCPointerInputFrame@@@Z
         90   51 0013C550 ?ForwardPointerInputFrameToManipulationThread@CTouchProcessor@@SAXPEBUCPointerInputFrame@@@Z
         91   52 001CC350 ?G_fConsole@@3HA
         92   53 001873C0 ?GetBaseWindowForInputType@CompositionInputObject@@QEBAJW4CompositionInputType@@PEAPEAUtagWND@@@Z
         93   54 000AA100 ?GetClip@CCursorClip@@QEBA?AUtagRECT@@XZ
         94   55 0013EA90 ?GetContactVisualizationPointerEventInt@CTouchProcessor@@QEAAPEBUtagPOINTEREVENTINT@@PEAXPEAH@Z
         95   56 0014D010 ?GetDimmedState@CInputGlobals@@QEBA_NXZ
         96   57 0014D070 ?GetDisplayOnState@CInputGlobals@@QEBA_NXZ
         97   58 00026580 ?GetDomainLockRef@@YAAEAUtagObjLock@@W4DomainLockType@@@Z
         98   59 0008E9D0 ?GetFirstLSurf@SURFACE@@QEAAPEAVSFMLOGICALSURFACE@@XZ
         99   5A 0014CFC0 ?GetForeground@CForegroundInfo@@QEAAAEBVCInputDest@@XZ
        100   5B 0013EAD0 ?GetFrameIdFromPointerMsgId@CTouchProcessor@@QEAAK_K@Z
        101   5C 00080810 ?GetGlobalTickCount@CInputGlobals@@QEBA_KW4INPUT_GLOBALS_TICK_COUNT@@@Z
        102   5D 0013EB20 ?GetHwndReference@CTouchProcessor@@QEAAPEAUHWND__@@_KPEAGPEAI@Z
        103   5E 000707C0 ?GetKernelHandleToRimObj@CHidInput@@QEAAJPEAPEAX@Z
        104   5F 0005E500 ?GetLastInputTime@CInputGlobals@@QEBA_KXZ
        105   60 0014D0D0 ?GetLastInputType@CInputGlobals@@QEBA?AW4_LINP_SOURCE@@XZ
        106   61 0013EC00 ?GetMsgPointerIdFromEdition@CTouchProcessor@@QEAAG_K@Z
        107   62 00032460 ?GetNotificationTokens@SfmTokenArray@@QEAAJIPEAIPEAU_D3DKMT_PRESENTHISTORYTOKEN@@@Z
        108   63 0013ED10 ?GetPointerBarrelVisualization@CTouchProcessor@@QEAAHG@Z
        109   64 0013EE20 ?GetPointerCapture@CTouchProcessor@@QEAAX_KHPEAPEAXPEAH@Z
        110   65 0013F000 ?GetPointerCursorIdFromMsgData@CTouchProcessor@@QEAAH_KPEAK@Z
        111   66 0013F0A0 ?GetPointerData@CTouchProcessor@@QEAAH_KKIPEAUtagPOINTER_INFO@@@Z
        112   67 0013F230 ?GetPointerDataArrivalTimes@CTouchProcessor@@QEAAH_KIPEA_K@Z
        113   68 0013F4A0 ?GetPointerDataQPCTimeList@CTouchProcessor@@QEAAH_KIPEA_KPEAH@Z
        114   69 0013F720 ?GetPointerDataWithHistory@CTouchProcessor@@QEAAH_KKKPEAIPEAE@Z
        115   6A 0013F9D0 ?GetPointerDownFrame@CTouchProcessor@@QEAAK_K@Z
        116   6B 0013FCE0 ?GetPointerFrameDataWithHistory@CTouchProcessor@@QEAAH_KKHKPEAI1PEAE@Z
        117   6C 001402E0 ?GetPointerInfo@CTouchProcessor@@QEAAPEBUtagPOINTER_INFO@@PEBUCPointerInputFrame@@K@Z
        118   6D 00140350 ?GetPointerInfo@CTouchProcessor@@QEAAPEBUtagPOINTER_INFO@@_K@Z
        119   6E 001408C0 ?GetPointerMessageInfo@CTouchProcessor@@QEAAH_KHPEAPEAUHWND__@@PEAH2PEAKPEAI@Z
        120   6F 00140AC0 ?GetPointerMessagePoint@CTouchProcessor@@QEAAHGPEAUtagPOINT@@@Z
        121   70 00140FE0 ?GetPointerRawDataWithHistory@CTouchProcessor@@QEAAH_KIIPEBUtagPOINTER_DEVICE_PROPERTY@@IPEAJ@Z
        122   71 00141A00 ?GetPointerVisualization@CTouchProcessor@@QEAAHGPEAH@Z
        123   72 0014EC90 ?GetProcessor@CPTPProcessorFactory@@SAPEAVCPTPProcessor@@PEAUDEVICEINFO@@@Z
        124   73 0002C720 ?GetPtiLastWoken@CInputGlobals@@QEBAPEAUtagTHREADINFO@@XZ
        125   74 00095290 ?GetPtiLastWokenHotKey@CInputGlobals@@QEBAPEAUtagTHREADINFO@@XZ
        126   75 00141FB0 ?GetThreadPointerData@CTouchProcessor@@QEAA_KPEAUtagTHREADINPUTPOINTERLIST@@GPEAKPEAHPEAPEAUHWND__@@@Z
        127   76 00070560 ?GetThreadsWithPKL@@YAIPEAPEAPEAUtagTHREADINFO@@PEAU_TL@@PEAUtagKL@@@Z
        128   77 00142070 ?GetTouchProcessorLock@CTouchProcessor@@QEAAAEAUCInpLockGuard@@XZ
        129   78 0001EC10 ?GetUserAttr@XDCOBJ@@AEAAPEAU_DC_ATTR@@XZ
        130   79 000012C0 ?GetWindowForInputType@CompositionInputObject@@QEBAJW4CompositionInputType@@PEAPEAUHWND__@@@Z
        131   7A 000015B0 ?GetWindowForInputType@CompositionInputObject@@QEBAJW4CompositionInputType@@PEAPEAUtagWND@@@Z
        132   7B 001D4A38 ?GreEngLoadModuleAllocList@@3U_LIST_ENTRY@@A
