Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kbase.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kbase.sys

    00000000 characteristics
    C70CD32F time date stamp
        0.00 version
           1 ordinal base
        2493 number of functions
        2493 number of names

    ordinal hint RVA      name

        273  101 0007C150 ?bInit@BEZIER32@@QEAAHPEAU_POINTFIX@@PEAU_RECTFX@@@Z
        274  102 00035D10 ?bInside@RGNOBJ@@QEAAHPEAU_POINTL@@@Z
        275  103 00035620 ?bInside@RGNOBJ@@QEAAHPEAU_RECTL@@@Z
        276  104 0009BA70 ?bIntersect@@YAHPEBU_RECTL@@0PEAU1@@Z
        277  105 00004AE0 ?bInverse@EXFORMOBJ@@QEAAHAEAVMATRIX@@@Z
        278  106 000FEBB0 ?bIsLocked@W32PIDLOCK@@QEAA_NXZ
        279  107 00019360 ?bLock@DEVLOCKOBJ@@QEAAHAEAVXDCOBJ@@H@Z
        280  108 000362B0 ?bMakeInfoDC@DC@@QEAAHH@Z
        281  109 00098990 ?bMakeSurface@PDEVOBJ@@QEAAHPEAUHSURF__@@@Z
        282  10A 0006B590 ?bMap@SURFREFVIEW@@QEAAHPEAU_SURFOBJ@@@Z
        283  10B 00015A90 ?bMerge@RGNOBJ@@QEAAHAEAV1@0E@Z
        284  10C 00080640 ?bMoveTo@EPATHOBJ@@QEAAHPEAVEXFORMOBJ@@PEAU_POINTL@@@Z
        285  10D 00024A30 ?bMultiply@EXFORMOBJ@@QEAAHPEAVMATRIX@@0K@Z
        286  10E 0007BF10 ?bNext@BEZIER32@@QEAAHPEAU_POINTFIX@@@Z
        287  10F 001009F0 ?bNext@BEZIER64@@QEAAHPEAU_POINTFIX@@@Z
        288  110 00015200 ?bOffset@RGNOBJ@@QEAAHPEAU_POINTL@@@Z
        289  111 00073710 ?bPolyBezierTo@EPATHOBJ@@QEAAHPEAVEXFORMOBJ@@PEAU_POINTL@@K@Z
        290  112 00073770 ?bPolyLineTo@EPATHOBJ@@QEAAHPEAVEXFORMOBJ@@PEAU_POINTL@@K@Z
        291  113 00017520 ?bSetDefaultRegion@DC@@QEAAHXZ
        293  114 00013CE0 ?bSwap@RGNOBJAPI@@QEAAHPEAVRGNOBJ@@@Z
        294  115 001D13FC ?bTouchInputAllowed@RawInputManagerObject@@2HA
        295  116 0006CE70 ?bUnMap@SURFACE@@QEAAHPEAXPEAVDC@@@Z
        296  117 0006BA30 ?bUnMap@SURFREFVIEW@@QEAAHXZ
        297  118 0006B560 ?bUnMapImmediate@SURFREFVIEW@@QEAAHXZ
        298  119 000FD410 ?bXform@EXFORMOBJ@@QEAAHPEAU_POINTFIX@@PEAU_POINTL@@_K@Z
        299  11A 0007B2B0 ?bXform@EXFORMOBJ@@QEAAHPEAU_POINTL@@0_K@Z
        300  11B 000FD480 ?bXform@EXFORMOBJ@@QEAAHPEAU_POINTL@@PEAU_POINTFIX@@_K@Z
        301  11C 000FD4F0 ?bXform@EXFORMOBJ@@QEAAHPEAU_VECTORFX@@PEAU_VECTORL@@_K@Z
        302  11D 000FD560 ?bXform@EXFORMOBJ@@QEAAHPEAU_VECTORL@@0_K@Z
        303  11E 000A80B0 ?bXform@EXFORMOBJ@@QEAAHPEAU_VECTORL@@PEAU_VECTORFX@@_K@Z
        304  11F 00025390 ?bXform@EXFORMOBJ@@QEAAHPEAVVECTORFL@@0_K@Z
        305  120 000A6B80 ?bXformRound@EXFORMOBJ@@QEAAHPEAU_POINTL@@PEAU_POINTFIX@@_K@Z
        306  121 00072260 ?cFonts@PDEVOBJ@@QEAAKXZ
        307  122 000AA210 ?cTotalCurves@EPATHOBJ@@QEAAKXZ
        308  123 000FD7D0 ?cTotalPts@EPATHOBJ@@QEAAKXZ
        309  124 000A8470 ?cjSize@EPATHOBJ@@QEAAKXZ
        310  125 00033BA0 ?dwSetLayout@DC@@QEAAKJK@Z
        311  126 001CF1E0 ?ef16@@3VEFLOAT@@A
        312  127 001022E0 ?eqCross@EFLOAT@@QEAA?AV1@AEBVPOINTFL@@0@Z
        313  128 00088C20 ?eqLength@EFLOAT@@QEAA?AV1@AEBVPOINTFL@@@Z
        314  129 001D0CE8 ?freelist@PATHALLOC@@0PEAV1@EA
        315  12A 001D1510 ?gCookie@@3_KA
        316  12B 001D4A28 ?gDpiDepDefaultGuiFontsPushLock@@3U_EX_PUSH_LOCK@@A
        317  12C 001D1600 ?gDxgkInterface@@3U_DXGKWIN32K_INTERFACE@@A
        318  12D 001D4BC0 ?gHidRequestTable@RawInputManagerObject@@2UtagHID_REQUEST_TABLE@@A
        319  12E 001D1518 ?gPreviousProtocolType@@3GA
        320  12F 00198DD8 ?gSmartObjNullRef@@3U_SMARTOBJSTACKREF@@B
        321  130 001CC814 ?gStockBitmapFree@@3JA
        322  131 001D0EF8 ?gUMPDSecurityLevel@@3W4UMPDSecurityLevel@@A
        323  132 001D09D0 ?gWinLogonRpcHandle@@3PEAXEA
        324  133 001D13D8 ?g_bLockUpdatesForDwm@@3HA
        325  134 001D5E08 ?g_pDwmState@@3PEAUDwmState@@EA
        326  135 001CF284 ?gafjRgnOp@@3PAEA
        327  136 001D0EE8 ?gahDpiDepDefaultGuiFonts@@3PEAPEAXEA
        328  137 001D0EF0 ?gahStockObjects96@@3PEAPEAXEA
        329  138 001D0EE0 ?gahStockObjects@@3PEAPEAXEA
        330  139 001D4EE8 ?gbDisableLddmSpriteTearDown@@3HA
        331  13A 001D5DF0 ?gbMultiMonMismatchColor@@3HA
        332  13B 001D0EC8 ?gcMaxHmgr@@3KA
        333  13C 001D0EFC ?gcModeChanges@@3KA
        334  13D 001D0F28 ?gcRemoteNextGlobalDeviceNumber@@3KA
        335  13E 001CC600 ?gcRemoteNextGlobalPhysicalOutputNumber@@3KA
        336  13F 001D0F48 ?gdmLogPixels@@3GA
        337  140 001D1ECC ?gdmLogPixelsOfPrimary@@3GA
        338  141 001D1E88 ?gdwDirectDrawContext@@3KA
        339  142 00095DF0 ?getDLT@DLT_CLIENTLIB@@SA?AW4DomainLockType@@XZ
        340  143 00081020 ?getDLT@DLT_POST@@SA?AW4DomainLockType@@XZ
        341  144 000E84D0 ?getDLT@DLT_POWERTRANSITIONSSTATE@@SA?AW4DomainLockType@@XZ
        342  145 00080B20 ?getDLT@DLT_QUEUE@@SA?AW4DomainLockType@@XZ
        343  146 00077270 ?getDLT@DLT_THREADINFO@@SA?AW4DomainLockType@@XZ
        344  147 00026740 ?getDLT@DLT_THREADLOCK@@SA?AW4DomainLockType@@XZ
        345  148 00080700 ?getDLT@DLT_WINEVENT@@SA?AW4DomainLockType@@XZ
        346  149 001D5E10 ?gfDwmDesktopOverlaysEnabled@@3HA
        347  14A 001D5E14 ?gfDwmOverlayTestMode@@3HA
        348  14B 001D0F5C ?giIcmGammaRange@@3IA
        349  14C 001D1580 ?giSpriteUniqueness@@3KA
        350  14D 001D53AC ?giVisRgnUniqueness@@3KA
        351  14E 001D53A8 ?giVisRgnUniquenessStable@@3KA
        352  14F 001CF2D0 ?gmxIdentity_LToL@@3VMATRIX@@A
        353  150 001D5378 ?gpCachedDbrush@@3PEAVRBRUSH@@EA
        354  151 001D4EE0 ?gpCachedEngbrush@@3PEAVRBRUSH@@EA
        355  152 001D5DB0 ?gpDistrib@@3PEAVCDistrib@@EA
        356  153 001D09F8 ?gpEventPowerRequest@@3PEAU_KEVENT@@EA
        357  154 001D0F38 ?gpGraphicsDeviceList@@3PEAUtagGRAPHICS_DEVICE@@EA
        358  155 001D15B8 ?gpHandleManager@@3PEAVGdiHandleManager@@EA
        359  156 001D0F20 ?gpLocalGraphicsDeviceList@@3PEAUtagGRAPHICS_DEVICE@@EA
        360  157 001D5E28 ?gpPFTPrivate@@3PEAVPFT@@EA
        361  158 001D0B10 ?gpPenNull@@3PEAVPEN@@EA
        362  159 001D15B0 ?gpRGBXlate@@3PEAEEA
        363  15A 001D2230 ?gpRemoteGraphicsDeviceList@@3PEAUtagGRAPHICS_DEVICE@@EA
        364  15B 001D2228 ?gpRemoteGraphicsDeviceListLast@@3PEAUtagGRAPHICS_DEVICE@@EA
        365  15C 001CBA78 ?gpSfmState@@3PEAUSfmState@@EA
        366  15D 001D07C0 ?gpStackRefLookAside@@3PEAXEA
        367  15E 001D0F70 ?gpTypeIsolation@@3PEAPEAEEA
        368  15F 001D1500 ?gpUserTypeIsolation@@3PEAPEAEEA
        369  160 001D0B18 ?gpbrBackground@@3PEAVBRUSH@@EA
        370  161 001D4218 ?gpbrNull@@3PEAVBRUSH@@EA
        371  162 001D0B20 ?gpbrText@@3PEAVBRUSH@@EA
        372  163 001D15C8 ?gpentHmgr@@3PEAU_ENTRY@@EA
        373  164 001CBA70 ?gpeqErrorLow@@3PEA_JEA
        374  165 001D0F00 ?gpldevDrivers@@3PEAU_LDEV@@EA
        375  166 001D15A8 ?gppalRGB@@3PEAVPALETTE@@EA
        376  167 001D1570 ?gppdevList@@3PEAVPDEV@@EA
        377  168 000FCA80 ?hFindIcmDIB@BRUSH@@QEAAPEAUHBITMAP__@@PEAX@Z
        378  169 001D5E30 ?hForePID@@3PEAU_W32PROCESS@@EA
        379  16A 001D5E38 ?hForePalette@@3PEAUHPALETTE__@@EA
        380  16B 000145F0 ?hpath@DC@@QEAAPEAUHPATH__@@PEAU2@@Z
        381  16C 001D0CF0 ?hsemFreelist@PATHALLOC@@0PEAUHSEMAPHORE__@@EA
        382  16D 00014D00 ?iCombine@DC@@QEAAJPEAU_RECTL@@J@Z
        383  16E 00100530 ?iCombine@DC@@QEAAJPEAVEXFORMOBJ@@PEAU_RECTL@@J@Z
        384  16F 000113B0 ?iCombine@RGNOBJ@@QEAAJAEAV1@0J@Z
        385  170 000116B0 ?iCombine@RGNOBJAPI@@QEAAJAEAVRGNOBJ@@0J@Z
        386  171 001CC7B0 ?logDefaultPal@@3U_PAL_LOGPALETTE@@A
        387  172 00041A60 ?pAdapterLuid@PDEVOBJ@@QEAAPEAU_LUID@@XZ
        388  173 00095790 ?pRenderAdapterLuid@PDEVOBJ@@QEAAPEAU_LUID@@XZ
        389  174 001D0D20 ?pdibDefault@SURFACE@@2PEAV1@EA
        390  175 001D1588 ?ppalDefault@@3PEAVPALETTE@@EA
        391  176 001D15A0 ?ppalDefaultSurface8bpp@@3PEAVPALETTE@@EA
        392  177 001D1590 ?ppalMono@@3PEAVPALETTE@@EA
        393  178 001D0D08 ?prgnDefault@@3PEAVREGION@@EA
        394  179 00018210 ?ptiSetDomainLockBit@@YAXW4DomainLockType@@@Z
        395  17A 00018290 ?ptiUnSetDomainLockBit@@YAXW4DomainLockType@@@Z
        396  17B 001CBAB0 ?pvDispatchTable@@3PAPEAXA
        397  17C 001D5D78 ?s_atom@CHwndTargetProp@@2GA
        398  17D 001D1528 ?s_pLookaside@ThreadLockedPerfRegion@InputTraceLogging@@0PEAXEA
        399  17E 001D1520 ?s_userCritLoggingEnabled@Perf@InputTraceLogging@@0_NA
        400  17F 00037230 ?sizeSave@RGNOBJ@@QEAAKXZ
        401  180 001CF350 ?tSize@SURFACE@@0_KA
        402  181 00051DA0 ?ulDispatchGFPEFunction@XEPALOBJ@@QEAAKW4GFPE_FUNCTION_ID@@K@Z
        403  182 000545B0 ?ulGetNearestFromPalentryNoExactMatchFirst@XEPALOBJ@@QEAAKUtagPALETTEENTRY@@@Z
        404  183 0006AFB0 ?ulIndexToRGB@XEPALOBJ@@QEAAKK@Z
        405  184 001D5E40 ?ulTableIndex@@3KA
        406  185 001D0D00 ?ulUniqueREGION@REGION@@0KA
        407  186 001CC810 ?ulXlatePalUnique@@3KA
        408  187 000A05E0 ?vClearIncludeSprites@SURFACE@@SAXXZ
        409  188 0006A220 ?vCloseAllFigures@EPATHOBJ@@QEAAXXZ
        410  189 00024840 ?vComputeAccelFlags@EXFORMOBJ@@QEAAXK@Z
        411  18A 0007AE90 ?vComputeCallTables@XEPALOBJ@@QEAAXXZ
        412  18B 000158D0 ?vCopy@RGNOBJ@@QEAAXAEAV1@@Z
        413  18C 00069B70 ?vCreate@RGNMEMOBJ@@QEAAXAEAVEPATHOBJ@@KPEAU_RECTL@@@Z
        414  18D 000144B0 ?vDelete@EBRUSHOBJ@@QEAAXXZ
        415  18E 00014040 ?vDeleteRGNOBJ@RGNOBJ@@QEAAXXZ
        416  18F 000533F0 ?vDisableSurface@PDEVOBJ@@QEAAXW4_CLEANUPTYPE@@E@Z
        417  190 00037270 ?vDownload@RGNOBJ@@QEAAXPEAX@Z
        418  191 00030540 ?vFreeBlocks@EPATHOBJ@@QEAAXXZ
        420  192 00051F20 ?vFreeOrCacheRBrush@RBRUSH@@QEAAXW4RBTYPE@@@Z
        421  193 000FD5E0 ?vGetCoefficient@EXFORMOBJ@@QEAAXPEAU_FD_XFORM@@@Z
        422  194 00025420 ?vGetCoefficient@EXFORMOBJ@@QEAAXPEAU_XFORML@@@Z
        423  195 00026A20 ?vGetCoefficient@EXFORMOBJ@@QEAAXPEAUtagFLOATOBJ_XFORM@@@Z
        424  196 00080EB0 ?vGetSubRect@RGNOBJ@@QEBAXPEAU_RECTL@@@Z
        425  197 00100FA0 ?vInit@BEZIER64@@QEAAXPEAU_POINTFIX@@PEAU_RECTFX@@PEB_J@Z
        426  198 00023E90 ?vInit@EXFORMOBJ@@QEAAXAEAVXDCOBJ@@KH@Z
        427  199 000518C0 ?vInitBrush@EBRUSHOBJ@@QEAAXPEAVDC@@PEAVBRUSH@@VXEPALOBJ@@2PEAVSURFACE@@H@Z
        428  19A 000411B0 ?vLock@NEEDGRELOCK@@QEAAXAEAVPDEVOBJ@@@Z
        429  19B 000414F0 ?vLock@NEEDGRELOCK@@QEAAXAEAVXDCOBJ@@@Z
        430  19C 00040CE0 ?vLockGammaRamp@DEVLOCKOBJ@@QEAAXAEAVXDCOBJ@@@Z
        431  19D 00032F40 ?vLockNoDrawing@DEVLOCKOBJ@@QEAAXAEAVXDCOBJ@@@Z
        432  19E 0006B950 ?vLockSingleThread@W32PIDLOCK@@QEAAXXZ
        433  19F 00076DC0 ?vMakeNoXlate@XEPALOBJ@@QEAAXXZ
        434  1A0 000A7810 ?vOffset@EPATHOBJ@@QEAAXAEAVEPOINTL@@@Z
        435  1A1 00025580 ?vOrder@EXFORMOBJ@@QEBAXAEAU_RECTL@@@Z
        436  1A2 00015870 ?vPopThreadGuardedObject@RGNMEMOBJ@@QEAAXXZ
        437  1A3 00019090 ?vPushThreadGuardedObject@RGNMEMOBJ@@QEAAXXZ
        438  1A4 00077120 ?vReferencePdev@PDEVOBJ@@QEAAXXZ
        439  1A5 0007DCE0 ?vRelease@UMPDOBJ@@SAXPEAV1@H@Z
        440  1A6 0001A940 ?vReleaseRao@DC@@QEAAXXZ
        441  1A7 000881A0 ?vRemoveTranslation@EXFORMOBJ@@QEAAXXZ
        442  1A8 000FE690 ?vScale@RGNOBJ@@QEAAXVPOINTFL@@@Z
        443  1A9 0001A080 ?vSet@RGNOBJ@@QEAAXPEAU_RECTL@@@Z
        444  1AA 000155B0 ?vSet@RGNOBJ@@QEAAXXZ
        445  1AB 000A0610 ?vSetIncludeSprites@SURFACE@@SAXXZ
        446  1AC 00077040 ?vSetRendering@DC@@QEAAXXZ
        447  1AD 00011030 ?vSetup@XCLIPOBJ@@QEAAXPEAVREGION@@AEAVERECTL@@H@Z
        448  1AE 00019140 ?vSwap@RGNOBJ@@QEAAXPEAV1@@Z
        449  1AF 00041AA0 ?vSync@PDEVOBJ@@QEAAXPEAU_SURFOBJ@@PEAU_RECTL@@K@Z
        450  1B0 0006A140 ?vTighten@RGNOBJ@@QEAAXXZ
        451  1B1 000304B0 ?vUnlock@EPATHOBJ@@QEAAXXZ
        452  1B2 0007D280 ?vUnlock@NEEDGRELOCK@@QEAAXXZ
        453  1B3 0006BB40 ?vUnlockSingleThread@W32PIDLOCK@@QEAAXXZ
        454  1B4 000138A0 ?vUnrefPalette@XEPALOBJ@@QEAAXXZ
        455  1B5 000149D0 ?vUnreferencePdev@PDEVOBJ@@QEAAXW4_CLEANUPTYPE@@@Z
        456  1B6 00080760 ?vUpdateScaledRegions@DC@@QEAAXXZ
        457  1B7 00024090 ?vUpdateWtoDXform@DC@@QEAAXXZ
        458  1B8 0001AAA0 ?vUpdate_VisRect@DC@@QEAAXPEAVREGION@@@Z
        459  1B9 001D4A60 ?xlateTable@@3PAU_XLATETABLE@@A
        460  1BA 001D0F80 ?xloIdent@@3VXLATE256@@A
        461  1BB 00135AB0 ?xxxAccessTimeOutTimer@@YAXPEAUtagWND@@I_K_J@Z
        463  1BC 00135D10 ?xxxMKButtonClick@@YAHG@Z
        464  1BD 00135D50 ?xxxMKButtonDoubleClick@@YAHG@Z
        465  1BE 00135D70 ?xxxMKButtonSetState@@YAHG@Z
        466  1BF 00135E00 ?xxxMKMouseMove@@YAHG@Z
        467  1C0 001363D0 ?xxxMKToggleMouseKeys@@YAHG@Z
        468  1C1 001364E0 ?xxxStickyKeys@@YAHPEAUtagKE@@KH@Z
        469  1C2 001369D0 ?xxxTurnOffStickyKeys@@YAXXZ
        470  1C3 00136A30 ?xxxTwoKeysDown@@YAHH@Z
        471  1C4 00136AC0 ?xxxUnlatchStickyKeys@@YAXXZ
        472  1C5 00136B20 ?xxxUpdateModifierState@@YAXHH@Z
        473  1C6 00094BA0 AccessCheckObject
        474  1C7 0009F050 AcquireCriticalSectionAndCheckState
        475  1C8 0009EFF0 AcquireCriticalSectionCheckStateAndUpdateGraphicsDeviceList
        476  1C9 001549F0 AddEdgePalmRejectionZone
        477  1CA 000139C0 AllocAce
        478  1CB 00017380 AllocFreeTmpBuffer
        479  1CC 0006CAC0 AllocQueue
        480  1CD 00018070 AllocThreadBufferWithTag
        481  1CE 000156B0 AllocateObject
        482  1CF 000A4660 AllocateWindowManagerSid
        483  1D0 000E9A60 AssociateKernelIocpWcp
        484  1D1 0014B930 BuildPostInputInfoFrame
        485  1D2 000A1940 CSTPush
        486  1D3 000EC7C0 CSTRemove
        487  1D4 0014B950 CalcPostInputInfoFrameSize
        488  1D5 000A9F40 CallMonitor
        489  1D6 00154D60 CancelCapturedMipOverride
         46  1D7 000983C0 CaptureDEVMODEW
         47  1D8 0007D630 CaptureDriverInfo2W
        490  1D9 0005B4D0 CaptureLogicalCursorPosToQMouseMove
        491  1DA 00096760 ChangeAcquireResourceType
        492  1DB 000AE150 CheckAndProcessSurfaceComplete
        493  1DC 0003ADF0 CheckDesktopPolicy
        494  1DD 000EC880 CheckDesktopPolicyChange
        495  1DE 000A4600 CheckDwmProcessSecurityIdentifier
        496  1DF 00154D90 CheckIntegrityAccessToCapture
        497  1E0 000A5800 CitDesktopSwitch
        498  1E1 00085FD0 CitGetMonitorInfo
        499  1E2 001890E0 CitLastInputUpdate
        500  1E3 00189140 CitModerncoreProcessForegroundChange
        501  1E4 00189250 CitModerncoreShutdown
        502  1E5 00083A70 CitProcessForegroundChange
        503  1E6 00081E70 CitSessionConnectChange
        504  1E7 00031820 CitSetInfo
        505  1E8 00081FA0 CitUserChange
        506  1E9 0008AD20 CleanupInputDelegation
        507  1EA 00055E90 CleanupLogonProcess
        508  1EB 00064C90 CleanupPowerRequestList
        509  1EC 000A1F90 CleanupRemoteHandles
        510  1ED 0009FFE0 CleanupSensorExplicitly
        511  1EE 00031EA0 ClearAppStarting
        512  1EF 000A3600 ClearLogicalCursorPos
        513  1F0 0005C390 CoalesceInputSourceMouseMoves
        514  1F1 00069830 CommitReadOnlyMemory
        515  1F2 000356E0 CreateCacheDC
        516  1F3 000255F0 CreateEmptyRgn
        517  1F4 000269D0 CreateEmptyRgnPublic
        518  1F5 00093310 CreateGlobalAtomTable
        519  1F6 000677D0 CreateKernelEvent
        520  1F7 0009FC40 CreateKernelIocp
        521  1F8 0009DB80 CreateKernelIocpWcp
        522  1F9 000678C0 CreateKernelSemaphore
        523  1FA 000E9AA0 CreateKernelTimer
        524  1FB 0003C7E0 CreateProfileUserName
         57  1FC 0007CAD0 CreateRegion
         58  1FD 000FEE60 CreateRegionFromRect
        525  1FE 0006A430 CreateSecurityDescriptor
        526  1FF 00095590 CreateSharedSystemVisualObject
        527  200 001D3B50 CsrApiPort
        528  201 0002CAC0 DCompHitTest
        529  202 00169EA0 DCompositionCreateSynchronizationObject
        530  203 00169F90 DCompositionDDAChange
        531  204 000AD990 DCompositionForceRender
        532  205 0007C890 DCompositionNotifyCompositionTokenPresent
        533  206 00088BE0 DCompositionNotifyPresent
        534  207 00037CF0 DCompositionProcessCallout
        535  208 0009B310 DCompositionSessionInitialize
        536  209 0007C7D0 DCompositionShouldDeferToken
        537  20A 00058E90 DCompositionThreadCallout
        538  20B 0001D0B0 DEC_SHARE_REF_CNT
         60  20C 0001C4E0 DEC_SHARE_REF_CNT_LAZY0
         61  20D 0001C200 DEC_SHARE_REF_CNT_LAZY_DEL_LOGFONT
        539  20E 00089650 DeleteMaybeSpecialRgn
        540  20F 0005A750 DeleteProperties
        541  210 00080400 DereferenceDwmApiPort
        542  211 00080400 DereferenceDwmProcess
        543  212 0019A8C0 DesktopMapping
        544  213 00080420 DestroyCacheDC
        545  214 00072F00 DestroyMonitorDCs
        546  215 0004AA80 DeviceTypeToRimInputType
        547  216 00097F00 DisableDelegation
         72  217 000E9120 DispBrokerAsyncRefreshOrientation
         73  218 000E9160 DispBrokerAsyncRotationLockToggleKey
        548  219 00077270 DllUnload
        549  21A 00062580 DoAccel
        550  21B 0021F050 DriverEntry
        551  21C 0004DC60 DrvBuildDevmodeList
        552  21D 00057A80 DrvCleanupOneGraphicsDevice
        553  21E 0007F340 DrvCloseLocalGraphicsDevices
        554  21F 000A9360 DrvCreatePhysicalMonitorObjects
        555  220 000AA4A0 DrvDisableMDEV
        556  221 00032B00 DrvDisplayConfigGetDeviceInfo
        557  222 00108930 DrvDisplayConfigGetScaleFactorOverrides
        558  223 00003780 DrvDisplayConfigSetDeviceInfo
        559  224 00108A60 DrvDisplayConfigSetScaleFactorOverride
        560  225 0009C7E0 DrvDxgkDisplayOnOff
        561  226 00108CB0 DrvDxgkGetMonitorDeviceObject
        562  227 000ABCC0 DrvDxgkLogCodePointPacket
        563  228 00108CD0 DrvDxgkPollDisplayChildren
        564  229 00108D00 DrvDxgkUpgradeLegacyDpiSettings
        565  22A 000A34E0 DrvDxgkWriteDiagEntry
        566  22B 00010780 DrvEnumDisplayDevices
        567  22C 000330C0 DrvEnumDisplaySettings
        568  22D 000AC5E0 DrvEscapeRemoteDrivers
        569  22E 00034660 DrvGetDeviceFromName
        570  22F 00044420 DrvGetDisplayConfigBufferSizes
        571  230 0003D320 DrvGetDisplayDriverNames
        572  231 00034560 DrvGetHDEV
        573  232 000361D0 DrvGetHdevName
        574  233 000A3B90 DrvGetLogPixels
        575  234 00109310 DrvGetMonitorOrientation
        576  235 0007F0F0 DrvGetSuggestedPhysicalMonitorArraySize
        577  236 00041710 DrvGetWDDMAdapterInfo
        578  237 000A0ED0 DrvInitializeDxgkrnlDpiCache
        579  238 000A3260 DrvIsSourceInHardwareClone
        580  239 000452C0 DrvLogDiagDisplayChange
        581  23A 00057920 DrvNotifySessionStateChange
        582  23B 00044770 DrvQueryDisplayConfig
        583  23C 00045BB0 DrvQueryMDEVPowerState
        584  23D 00046990 DrvSetDisplayConfig
        585  23E 000ADDF0 DrvSetMDEVPowerState
        586  23F 000290F0 DrvUpdateGraphicsDeviceList
        587  240 0003C480 DwmAsyncCreateDCompositionHwndTarget
        588  241 0003C970 DwmAsyncDestroyDCompositionHwndTarget
        589  242 0010A750 DwmSyncFlushAndWaitForBatch
        590  243 000416F0 DxLddmFindProcessEntry
        591  244 000A3A20 EnableMouseAcceleration
        592  245 000ECDA0 EnablePTPDevices
        593  246 0004F2B0 EnforceColorDependentSettings
        594  247 0007D360 EngAcquireFastMutex
        595  248 00014990 EngAcquireSemaphore
        596  249 00095B30 EngAcquireSemaphoreNoWait
        597  24A 0010A770 EngAcquireSemaphoreShared
        598  24B 000A9D50 EngAcquireSemaphoreSharedNoWait
        599  24C 0004F150 EngAllocMem
        600  24D 0010A7B0 EngAllocSectionMem
        601  24E 0009BF10 EngAllocUserMem
        602  24F 0008FA30 EngAssociateSurface
        603  250 0010A870 EngBugCheckEx
        604  251 0010B1B0 EngCombineRgn
        605  252 0010B250 EngCopyRgn
        606  253 0008FB40 EngCreateBitmap
        607  254 0010B9C0 EngCreateClip
        608  255 0010B170 EngCreateDeviceBitmap
        609  256 0008FAA0 EngCreateDeviceSurface
        610  257 0010A8A0 EngCreateFastMutex
        611  258 000986A0 EngCreatePalette
        612  259 0010B2D0 EngCreateRectRgn
        613  25A 0008FB00 EngCreateRedirectionDeviceBitmap
        614  25B 00038940 EngCreateSemaphore
        615  25C 0010A8C0 EngDebugBreak
        616  25D 0010A8D0 EngDebugPrint
        617  25E 0010BA40 EngDeleteClip
        618  25F 0010BC70 EngDeleteDriverObj
        619  260 0010A970 EngDeleteFastMutex
        620  261 00055230 EngDeletePalette
        621  262 0010B350 EngDeleteRgn
        622  263 0010A990 EngDeleteSafeSemaphore
        623  264 00038960 EngDeleteSemaphore
        624  265 00050060 EngDeleteSurface
        625  266 0010A9D0 EngDeviceIoControl
        626  267 0010B3C0 EngEqualRgn
        627  268 0010AA90 EngExpandStackAndCallout
        628  269 00053820 EngFreeMem
        629  26A 0010AAB0 EngFreeSectionMem
        630  26B 00032520 EngFreeUserMem
        631  26C 0010AB10 EngGetLastError
        632  26D 00077270 EngGetProcessHandle
        633  26E 0010B470 EngGetRgnBox
        634  26F 0010B4D0 EngGetRgnData
        635  270 0010AB40 EngInitializeSafeSemaphore
        636  271 0010B540 EngIntersectRgn
        637  272 000A1290 EngIsSemaphoreOwned
        638  273 0008CD50 EngIsSemaphoreOwnedByCurrentThread
        639  274 00097FD0 EngIsSemaphoreSharedByCurrentThread
        640  275 0010BD90 EngLockDriverObj
        641  276 00020840 EngLockSurface
        642  277 0010AB90 EngMapSection
        643  278 0008D700 EngModifySurface
        644  279 000353E0 EngMulDiv
        645  27A 0010ACB0 EngMultiByteToUnicodeN
        646  27B 0010B5E0 EngOffsetRgn
        647  27C 0010ACE0 EngProbeForRead
        648  27D 0010AD30 EngQueryPerformanceCounter
        649  27E 0010AD60 EngQueryPerformanceFrequency
        650  27F 0010AD80 EngQuerySystemAttribute
        651  280 00099970 EngQueryW32kCddInterface
        652  281 0010B650 EngRectInRgn
        653  282 0007D380 EngReleaseFastMutex
        654  283 00076740 EngReleaseSemaphore
        655  284 0010AE70 EngSecureMem
        656  285 0008FEE0 EngSetLastError
        657  286 0010B6B0 EngSetRectRgn
        658  287 0010B740 EngSubtractRgn
        659  288 0010AEA0 EngUnicodeToMultiByteN
        660  289 0010B7E0 EngUnionRgn
        661  28A 0010BDC0 EngUnlockDriverObj
        662  28B 0001F160 EngUnlockSurface
        663  28C 0009D220 EngUpdateDeviceSurface
        664  28D 0010B880 EngXorRgn
        665  28E 000262C0 EnterCrit
        666  28F 0008AF80 EnterHandleFlagsCrit
        667  290 000EAD80 EnterPowerCrit
        668  291 000A37B0 EnterRenderBlock
        669  292 000260F0 EnterSharedCrit
        670  293 000A39C0 EnterSharedRenderCrit
        671  294 0010BE30 EtwBindLogicalSurfaceRHEvent
        672  295 000AA410 EtwBindSwapChain
        673  296 0008F480 EtwDevLockEndTightUpdate
        674  297 0007D2F0 EtwDevLockEndUpdate
        675  298 0007D2D0 EtwDirtyRectUpdate
        676  299 00097EA0 EtwDwmSpriteCreateEvent
        677  29A 00099240 EtwDwmSpriteDestroyEvent
        678  29B 00096870 EtwDwmSpriteLogicalSurfBindEvent
        679  29C 000972F0 EtwDwmSpriteLogicalSurfUnBindEvent
