Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kfull.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kfull.sys

    00000000 characteristics
    521ECAF6 time date stamp
        0.00 version
           1 ordinal base
        2345 number of functions
        2345 number of names

    ordinal hint RVA      name

        137   76 001E0C70 EditionClientCharToWchar
        138   77 0011BB50 EditionCommitMousePosAndMove
        139   78 00117FC0 EditionComputeInjectorUIPI
        140   79 001CA5F0 EditionContactVisualization
        141   7A 0005BB70 EditionCoreMsgKSend
        142   7B 001E0E90 EditionCreateEdgePalmRejectionZones
        143   7C 000FE2B0 EditionDeactivateMitInput
        144   7D 00112C70 EditionDeferWinEventNotify
        145   7E 001C39A0 EditionDelQEntry
        146   7F 001DB3B0 EditionDelegateCapturePointers
        147   80 001E0EB0 EditionDestroyEdgePalmRejectionZones
        148   81 001238B0 EditionDevicePnpNotification
        149   82 00008E20 EditionDoHotKeys
        150   83 001DD490 EditionDoPointerDPITransforms
        151   84 001E2340 EditionEdgyEnabled
        152   85 001E2390 EditionEdgyProcessInput
        153   86 001E23B0 EditionEdgyResetCurrentFrame
        154   87 001E23E0 EditionEdgyResetDataFrames
        155   88 00049010 EditionEndDeferWinEventNotify
        156   89 001C90D0 EditionExtensibility_WakeMITForInterceptCallout
        157   8A 0011CB40 EditionFinalizeKoreanImeCompStrOnMouseClick
        158   8B 001B9800 EditionFindNodeQueuedMessage
        159   8C 001DD510 EditionFindThreadPointerData
        160   8D 00103320 EditionForegroundQAccessibleToMouseProducer
        161   8E 0011FA40 EditionFreeIMEKeyboardLayouts
        162   8F 0005C870 EditionGetActiveHKL
        163   90 001B9290 EditionGetAppImeCompatFlags
        164   91 001E25D0 EditionGetCompositionInputWindowUIOwner
        165   92 00005CA0 EditionGetDefaultMouseSensitivity
        166   93 0012CA60 EditionGetExecutionEvironment
        167   94 001CEEB0 EditionGetInputDelegate
        168   95 001D58D0 EditionGetInputDesktopId
        169   96 00114580 EditionGetLogicalPointForMouseCaptureButtonEvent
        170   97 001C9120 EditionGetMouseWheelRoutingMode
        171   98 001DD530 EditionGetThreadPointerHookData
          4   99 00128270 EditionHandleAltTab
        172   9A 001180D0 EditionHandleAltTabCancel
        173   9B 000688F0 EditionHandleAndPostKeyEvent
        174   9C 00121140 EditionHandleHungWindow
        175   9D 00014B00 EditionHandleMitSignal
        176   9E 0012BC00 EditionHandleMoveSizeDataOnDestroyMonitor
        177   9F 000681F0 EditionHandleRawInput
        178   A0 00110100 EditionHandleSonarKeyEvent
        179   A1 00005CA0 EditionHidAutoRepeatTimeout
        180   A2 001E2440 EditionImmActivateAndUnloadThreadsLayout
        181   A3 0012C1B0 EditionImmActivateLayout
        182   A4 001E2460 EditionImmActivateThreadsLayout
        183   A5 00102970 EditionInitGlobalCursorSizes
        184   A6 00125240 EditionInitSystemCharsetInfoForLayout
        185   A7 0012CAA0 EditionInitializeMoveSizeList
        186   A8 000FE630 EditionInitiateMouseEventProcessing
        187   A9 0012BDF0 EditionInputExtensibilityCallout
          5   AA 000768E0 EditionInternalSetCursorPos
        188   AB 001C3550 EditionIsAppForeground
        189   AC 001E25F0 EditionIsCompositeAppOrSelfDisabled
        190   AD 00049030 EditionIsCompositionInputWindow
        191   AE 001C3570 EditionIsGpqForegroundAccessible
        192   AF 00015250 EditionIsGpqForegroundInaccessible
        193   B0 0010F5D0 EditionIsGpqForegroundInaccessibleExplicit
        194   B1 001D67D0 EditionIsHotKey
        195   B2 001DD550 EditionIsPointerInputRedirected
        196   B3 001B9830 EditionIsPointerQueuedMessageCoalescable
        197   B4 0014B480 EditionIsSAS
        198   B5 001228A0 EditionIsUsermodeRIMAccessAllowed
        199   B6 001D6030 EditionIsWinEventsDeferred
        200   B7 001049A0 EditionKeepMachineUp
        201   B8 0005B8E0 EditionKeyEventLLHook
        202   B9 001ECDA0 EditionKillAccessibilityTimer
        203   BA 0005CAF0 EditionLLMouseButtonHook
        204   BB 001C9160 EditionLLMouseWheelHook
        205   BC 001C2D50 EditionLegacyTouchPadMouseAllowTap
        206   BD 001ECF80 EditionMagnificationMousePosition
          6   BE 001B9440 EditionMessageBeep
        207   BF 00110080 EditionMouseMoveShellResilience
        208   C0 00049230 EditionMouseSpeedHitTest
        209   C1 00128D50 EditionNotifyShellLanguageHook
        210   C2 001C72B0 EditionPersistUserSPI
        211   C3 00114450 EditionPhysicalToLogicalDPIPointWithInputDestHint
        212   C4 001DD680 EditionPointerActivate
        213   C5 001DD6A0 EditionPointerParentNotify
        214   C6 001EFE40 EditionPointerSpeedHitTest
        215   C7 001EFE90 EditionPointerWindowHitTest
        216   C8 001ECDD0 EditionPostAccessibility
        217   C9 00121180 EditionPostEventMessage
        218   CA 001CEED0 EditionPostInertiaMessage
        219   CB 00068E10 EditionPostInputMessage
        220   CC 0006A600 EditionPostMouseMoveToQ
        221   CD 001CEF50 EditionPostMouseWheelToForeground
        222   CE 00113E60 EditionPostRawMouseInputMessage
        223   CF 001ECE30 EditionPostRitSound
        224   D0 00116150 EditionPostUpdateKeyStateEvent
        225   D1 001F2C20 EditionProcessPointerInputAsMouse
        226   D2 001F2C40 EditionPromotePointer
        227   D3 001B92B0 EditionRawInputRequestedForKeyboard
        228   D4 0005BB70 EditionRegAddRemovePointerDeviceSystemMetricKey
        229   D5 001EAE60 EditionRemoveFromMsdList
        230   D6 0011EC90 EditionReportMouseBreakToAccessibility
        231   D7 0012CAC0 EditionResetIMEConversionStatus
        232   D8 00124B80 EditionResetIMELayout
        233   D9 001C0600 EditionRimDeviceReadNotification
          7   DA 00005CA0 EditionSendCursorSuppressionUpdate
        234   DB 001E2480 EditionSendIMENotification
        235   DC 001ECE70 EditionSetAccessibilityTimer
        236   DD 001C35A0 EditionSetForegroundCheckNoActivate
        237   DE 0011CCC0 EditionShouldSwapMouseButton
        238   DF 001F0010 EditionSpeedHitTest
        239   E0 001D42D0 EditionStopSonar
        240   E1 001C9280 EditionSynthesizeMouseWheel
        241   E2 00129430 EditionSystemGenerateMove
        242   E3 001DD790 EditionUnlinkAndFreeThreadPointerData
        243   E4 00121DC0 EditionUnloadCursorsAndIcons
        244   E5 00120F70 EditionUpdateAsyncKeyState
        245   E6 000E81D0 EditionUpdateAsyncKeyStateThreads
        246   E7 000FAA40 EditionUpdateCursorAsync
        247   E8 00049AE0 EditionUpdateCursorOnMouseMove
        248   E9 00102730 EditionUpdateCursorSizes
        249   EA 00002170 EditionUpdateInputTransformFromHitTest
        250   EB 00118880 EditionUpdateModifiersForHotkey
        251   EC 00068810 EditionUpdateRawMouseMode
        252   ED 0012CA20 EditionUpdateRemoteLights
        253   EE 00114AB0 EditionUpdateSASModifiers
          8   EF 001B94F0 EditionUserBeep
        254   F0 001E2510 EditionValidateKbdNLSTable
        255   F1 0014CFE0 EditionWakeInputThreadForPnp
        256   F2 0006AC70 EditionWakeThreadForInput
        257   F3 001C72E0 EditionxxxBroadcastSPIChange
        258   F4 000162D0 EditionxxxSystemParametersInfoWorker
        259   F5 00128860 EnableHalftone
        260   F6 00122F40 EnableUserkTraceLogging
        261   F7 0025BB90 EngAllocPrivateUserMem
        262   F8 000B3700 EngAlphaBlend
        263   F9 00083D30 EngBitBlt
        264   FA 00107030 EngCTGetCurrentGamma
        265   FB 0011D250 EngCTGetGammaTable
        266   FC 002603B0 EngCheckAbort
        267   FD 00261180 EngClearEvent
        268   FE 000E83D0 EngComputeGlyphSet
        269   FF 00269260 EngControlSprites
        270  100 00087290 EngCopyBits
        271  101 0026A160 EngCreateDriverObj
        272  102 002611A0 EngCreateEvent
        273  103 0026AB00 EngCreatePath
        274  104 0026B400 EngCreateWnd
        275  105 00261210 EngDeleteEvent
        276  106 002614E0 EngDeleteFile
        277  107 0026AB80 EngDeletePath
        278  108 0026B8E0 EngDeleteWnd
        279  109 0026C8A0 EngDitherColor
        280  10A 0025BBC0 EngDxIoctl
        281  10B 002603F0 EngEnumForms
        282  10C 000E4340 EngEraseSurface
        283  10D 0026CA30 EngFileIoControl
        284  10E 0026CA80 EngFileWrite
        285  10F 001339A0 EngFillPath
        286  110 00257E20 EngFindImageProcAddress
        287  111 00261560 EngFindResource
        288  112 0026D5E0 EngFntCacheAlloc
        289  113 0026D6F0 EngFntCacheFault
        290  114 000BB770 EngFntCacheLookUp
        291  115 0026E5A0 EngFreeModule
        292  116 0025BBF0 EngFreePrivateUserMem
        293  117 00261590 EngGetCurrentCodePage
        294  118 0026F140 EngGetDriverName
        295  119 002615C0 EngGetFileChangeTime
        296  11A 00261700 EngGetFilePath
        297  11B 002603F0 EngGetForm
        298  11C 002603F0 EngGetPrinter
        299  11D 0026CA00 EngGetPrinterData
        300  11E 0026F160 EngGetPrinterDataFileName
        301  11F 002603F0 EngGetPrinterDriver
        302  120 0026CAC0 EngGetTickCount
        303  121 002603F0 EngGetType1FontList
        304  122 000BA720 EngGradientFill
        305  123 00257F60 EngHangNotification
        306  124 0025BC20 EngIsCddDeviceBitmap
        307  125 000F3390 EngLineTo
        308  126 00258110 EngLoadImage
        309  127 0026E680 EngLoadModule
        310  128 0026E6A0 EngLoadModuleForWrite
        311  129 0025BB90 EngLockDirectDrawSurface
        312  12A 0026F710 EngLpkInstalled
        313  12B 00261240 EngMapEvent
        314  12C 0026E6C0 EngMapFile
        315  12D 0026E760 EngMapFontFile
        316  12E 0026E780 EngMapFontFileFD
        317  12F 0026E7A0 EngMapModule
        318  130 001261A0 EngMarkBandingSurface
        319  131 00253470 EngMovePointer
        320  132 00261740 EngMultiByteToWideChar
        321  133 000BF950 EngNineGrid
        322  134 001330F0 EngPaint
        323  135 002708F0 EngPlgBlt
        324  136 0026F170 EngQueryDeviceAttribute
        325  137 00260420 EngQueryLocalTime
        326  138 00272610 EngQueryPalette
        327  139 00261310 EngReadStateEvent
        328  13A 0012CA60 EngRestoreFloatingPointState
        329  13B 002581C0 EngSaveFloatingPointState
        330  13C 00261330 EngSetEvent
        331  13D 001164C0 EngSetPointerShape
        332  13E 00005CA0 EngSetPointerTag
        333  13F 0026CA00 EngSetPrinterData
        334  140 002726E0 EngSort
        335  141 000B4720 EngStretchBlt
        336  142 000FAAF0 EngStretchBltROP
        337  143 0026CAF0 EngStrokeAndFillPath
        338  144 001361F0 EngStrokePath
        339  145 000827E0 EngTextOut
        340  146 000BDF20 EngTransparentBlt
        341  147 002581E0 EngUnloadImage
        342  148 0025BB90 EngUnlockDirectDrawSurface
        343  149 00261360 EngUnmapEvent
        344  14A 0026E7B0 EngUnmapFile
        345  14B 0026E820 EngUnmapFontFile
        346  14C 00114D40 EngUnmapFontFileFD
        347  14D 002613B0 EngWaitForSingleObject
        348  14E 00261770 EngWideCharToMultiByte
        349  14F 002603F0 EngWritePrinter
        350  150 001D9EC0 EnsurePointerDeviceHasMonitor
        351  151 0011C5F0 EnterEditionCrit
        352  152 002777B0 FONTOBJ_cGetAllGlyphHandles
        353  153 002777F0 FONTOBJ_cGetGlyphs
        354  154 00277860 FONTOBJ_pQueryGlyphAttrs
        355  155 002778D0 FONTOBJ_pfdg
        356  156 000B2670 FONTOBJ_pifi
        357  157 002778E0 FONTOBJ_pjOpenTypeTablePointer
        358  158 00277930 FONTOBJ_pvTrueTypeFontFile
        359  159 00277980 FONTOBJ_pwszFontFilePaths
        360  15A 002779D0 FONTOBJ_pxoGetXform
        361  15B 002779E0 FONTOBJ_vGetInfo
        362  15C 0001CEB0 FVisCountable
        363  15D 000F6640 FadeDesktop
        364  15E 000DD6F0 FinishStockFontInit
        365  15F 000DD190 FinishStockFontReinit
        366  160 001D4370 FlushWEFCOMPOSITEDDCEBounds
        367  161 0036F340 FontDriverQueryRoutine
        368  162 000C7950 FreeAllSpbs
        369  163 00023790 FreeClientOnWindowDestruction
        370  164 001F4F40 FreeDdeXact
        371  165 00127D80 FreeDesktop
        372  166 00005CA0 FreeDeviceInfo
        373  167 00004E30 FreeHidData
        374  168 0005B6C0 FreeHook
        375  169 00053040 FreeHwndList
        376  16A 001293F0 FreeImeHotKeys
        377  16B 00102270 FreeInputContext
        378  16C 000FC220 FreeMessageList
        379  16D 000FA7F0 FreeNonCachedUserMemWrap
