Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

        500  1EC 0010F420 FsRtlNumberOfRunsInBaseMcb
        501  1ED 0026A220 FsRtlNumberOfRunsInLargeMcb
        502  1EE 0026A260 FsRtlNumberOfRunsInMcb
        503  1EF 0068A1F0 FsRtlOplockBreakH
        504  1F0 0026ADE0 FsRtlOplockBreakToNone
        505  1F1 0026AE40 FsRtlOplockBreakToNoneEx
        506  1F2 00621050 FsRtlOplockFsctrl
        507  1F3 00621070 FsRtlOplockFsctrlEx
        508  1F4 00665950 FsRtlOplockIsFastIoPossible
        509  1F5 0066D990 FsRtlOplockIsSharedRequest
        510  1F6 00168860 FsRtlOplockKeysEqual
        511  1F7 0026C020 FsRtlPostPagingFileStackOverflow
        512  1F8 0026C040 FsRtlPostStackOverflow
        513  1F9 0068B590 FsRtlPrepareMdlWrite
        514  1FA 00813450 FsRtlPrepareMdlWriteDev
        515  1FB 0068B510 FsRtlPrepareMdlWriteEx
        516  1FC 006FAA20 FsRtlPrepareToReuseEcp
        517  1FD 000D5120 FsRtlPrivateLock
        518  1FE 0013E030 FsRtlProcessFileLock
        519  1FF 0068FD20 FsRtlQueryCachedVdl
        520  200 00814060 FsRtlQueryInformationFile
        521  201 006644D0 FsRtlQueryKernelEaFile
        522  202 0016B450 FsRtlQueryMaximumVirtualDiskNestingLevel
        523  203 0016B710 FsRtlRegisterFileSystemFilterCallbacks
        524  204 00757ED0 FsRtlRegisterFltMgrCalls
        525  205 00757EC0 FsRtlRegisterMupCalls
        526  206 00813A30 FsRtlRegisterUncProvider
        527  207 00813A70 FsRtlRegisterUncProviderEx
        528  208 0074CC80 FsRtlRegisterUncProviderEx2
        529  209 000FEB40 FsRtlReleaseEofLock
        530  20A 005CD3A0 FsRtlReleaseFile
        531  20B 006945C0 FsRtlReleaseFileNameInformation
        532  20C 00035090 FsRtlReleaseHeaderMutex
        533  20D 0010CEC0 FsRtlRemoveBaseMcbEntry
        534  20E 006E7DE0 FsRtlRemoveDotsFromPath
        535  20F 005B7BD0 FsRtlRemoveExtraCreateParameter
        536  210 0026A280 FsRtlRemoveLargeMcbEntry
        537  211 0026A2F0 FsRtlRemoveMcbEntry
        538  212 0026BE00 FsRtlRemovePerFileContext
        539  213 000D5800 FsRtlRemovePerFileObjectContext
        540  214 0026BF00 FsRtlRemovePerStreamContext
        541  215 00134280 FsRtlResetBaseMcb
        542  216 0026A310 FsRtlResetLargeMcb
        543  217 0012EF70 FsRtlSendModernAppTermination
        544  218 00701150 FsRtlSetDriverBacking
        545  219 006650F0 FsRtlSetEcpListIntoIrp
        546  21A 00664040 FsRtlSetKernelEaFile
        547  21B 0026A350 FsRtlSplitBaseMcb
        548  21C 0026A4C0 FsRtlSplitLargeMcb
        549  21D 0068E1A0 FsRtlSyncVolumes
        550  21E 0066C610 FsRtlTeardownPerFileContexts
        551  21F 005D72A0 FsRtlTeardownPerStreamContexts
        552  220 0010CDC0 FsRtlTruncateBaseMcb
        553  221 0010CD80 FsRtlTruncateLargeMcb
        554  222 0026A540 FsRtlTruncateMcb
        555  223 00269C90 FsRtlTryToAcquireHeaderMutex
        556  224 000DBCC0 FsRtlUninitializeBaseMcb
        557  225 00133B60 FsRtlUninitializeFileLock
        558  226 000DBC80 FsRtlUninitializeLargeMcb
        559  227 00813950 FsRtlUninitializeMcb
        560  228 000D8810 FsRtlUninitializeOplock
        561  229 0011E4A0 FsRtlUpdateDiskCounters
        562  22A 00813AE0 FsRtlUpperOplockFsctrl
        563  22B 0011AE40 FsRtlValidateReparsePointBuffer
        564  22C 006EE280 FsRtlVolumeDeviceToCorrelationId
        565  22D 003FCFB0 HalDispatchTable
        566  22E 00815670 HalExamineMBR
        567  22F 003FD960 HalPrivateDispatchTable
        568  230 00186330 HeadlessDispatch
        569  231 0031D5C0 HviGetDebugDeviceOptions
        570  232 0017CF50 HviGetEnlightenmentInformation
        571  233 0031D600 HviGetHardwareFeatures
        572  234 0017CF10 HviGetHypervisorFeatures
        573  235 0017D280 HviGetHypervisorInterface
        574  236 0031D670 HviGetHypervisorVendorAndMaxFunction
        575  237 0031D6C0 HviGetHypervisorVersion
        576  238 0031D710 HviGetImplementationLimits
        577  239 00175240 HviIsAnyHypervisorPresent
        578  23A 0017D240 HviIsHypervisorMicrosoftCompatible
        579  23B 001865F0 HviIsHypervisorVendorMicrosoft
        580  23C 0031D760 HviIsIommuInUse
        581  23D 0026C9E0 HvlGetLpIndexFromApicId
        582  23E 0031D7B0 HvlInvokeFastExtendedHypercall
        583  23F 0031D800 HvlInvokeHypercall
        584  240 00270120 HvlPerformEndOfInterrupt
        585  241 0026CA50 HvlQueryActiveHypervisorProcessorCount
        586  242 0026CA80 HvlQueryActiveProcessors
        587  243 0017B6F0 HvlQueryConnection
        588  244 0026CB10 HvlQueryHypervisorProcessorNodeNumber
        589  245 0026CB50 HvlQueryNumaDistance
        590  246 0026CC50 HvlQueryProcessorTopology
        591  247 0026CC70 HvlQueryProcessorTopologyCount
        592  248 0026CCB0 HvlQueryProcessorTopologyEx
        593  249 0026CD40 HvlQueryProcessorTopologyHighestId
        594  24A 001B0F50 HvlQueryStartedProcessors
        595  24B 00272300 HvlReadPerformanceStateCounters
        596  24C 0026C650 HvlRegisterInterruptCallback
        597  24D 008160A0 HvlRegisterWheaErrorNotification
        598  24E 0026C880 HvlUnregisterInterruptCallback
        599  24F 008160E0 HvlUnregisterWheaErrorNotification
        600  250 002786F0 InbvAcquireDisplayOwnership
        601  251 00278750 InbvCheckDisplayOwnership
        602  252 0017D600 InbvDisplayString
        603  253 00278780 InbvEnableBootDriver
        604  254 00191AC0 InbvEnableDisplayString
        605  255 00191B60 InbvInstallDisplayStringFilter
        606  256 0017C450 InbvIsBootDriverInstalled
        607  257 00176CE0 InbvNotifyDisplayOwnershipChange
        608  258 00278810 InbvNotifyDisplayOwnershipLost
        609  259 00278870 InbvResetDisplay
        610  25A 002788A0 InbvSetScrollRegion
        611  25B 002788D0 InbvSetTextColor
        612  25C 00191930 InbvSetVirtualFrameBuffer
        613  25D 00278900 InbvSolidColorFill
        614  25E 004352EC InitSafeBootMode
        615  25F 000DCBC0 InitializeSListHead
        616  260 001C0060 InterlockedPushListSList
        617  261 0010E610 IoAcquireCancelSpinLock
        618  262 000ACE30 IoAcquireRemoveLockEx
        619  263 001303B0 IoAcquireVpbSpinLock
        620  264 0053FA50 IoAdapterObjectType
        621  265 0027E1A0 IoAdjustStackSizeForRedirection
        622  266 0027E270 IoAllocateAdapterChannel
        623  267 0027E2A0 IoAllocateController
        624  268 0018C3C0 IoAllocateDriverObjectExtension
        625  269 0016B1D0 IoAllocateErrorLogEntry
        626  26A 00136680 IoAllocateIrp
        627  26B 00113C40 IoAllocateIrpEx
        628  26C 000CA090 IoAllocateMdl
        629  26D 00641920 IoAllocateMiniCompletionPacket
        630  26E 0027E340 IoAllocateSfioStreamIdentifier
        631  26F 0011E110 IoAllocateWorkItem
        632  270 000C1400 IoApplyPriorityInfoThread
        633  271 00821B80 IoAssignResources
        634  272 0081A5E0 IoAttachDevice
        635  273 0027E380 IoAttachDeviceByPointer
        636  274 0016B3D0 IoAttachDeviceToDeviceStack
        637  275 0012CFA0 IoAttachDeviceToDeviceStackSafe
        638  276 0027E3B0 IoBoostThreadIo
        639  277 000CC5C0 IoBuildAsynchronousFsdRequest
        640  278 000AAE30 IoBuildDeviceIoControlRequest
        641  279 00108260 IoBuildPartialMdl
        642  27A 005EE2E0 IoBuildSynchronousFsdRequest
        643  27B 001749A0 IoCallDriver
        644  27C 0081A6D0 IoCancelFileOpen
        645  27D 0011CAA0 IoCancelIrp
        646  27E 0081A810 IoCheckDesiredAccess
        647  27F 0062D470 IoCheckEaBufferValidity
        648  280 006E9480 IoCheckFunctionAccess
        649  281 0061E720 IoCheckLinkShareAccess
        650  282 006EDBE0 IoCheckQuerySetFileInformation
        651  283 006F8760 IoCheckQuerySetVolumeInformation
        652  284 0081A850 IoCheckQuotaBufferValidity
        653  285 00693110 IoCheckShareAccess
        654  286 006FAF30 IoCheckShareAccessEx
        655  287 001653C0 IoCleanupIrp
        656  288 00135D20 IoClearActivityIdThread
        657  289 002802D0 IoClearAdapterCryptoEngineExtension
        658  28A 00280320 IoClearFsTrackOffsetState
        659  28B 0027E410 IoClearIrpExtraCreateParameter
        660  28C 0027E430 IoCompleteRequest
        661  28D 0053F470 IoCompletionObjectType
        662  28E 00750670 IoConnectInterrupt
        663  28F 0070BA00 IoConnectInterruptEx
        664  290 0081A910 IoConvertFileHandleToKernelHandle
        665  291 0081AA70 IoCopyDeviceObjectHint
        666  292 006FF280 IoCreateArcName
        667  293 0081AAF0 IoCreateController
        668  294 00645CD0 IoCreateDevice
        669  295 00815680 IoCreateDisk
        670  296 007319C0 IoCreateDriver
        671  297 0062B220 IoCreateFile
        672  298 0062C1E0 IoCreateFileEx
        673  299 0068B7F0 IoCreateFileSpecifyDeviceObjectHint
        674  29A 00752020 IoCreateNotificationEvent
        675  29B 006F9480 IoCreateStreamFileObject
        676  29C 006F4BE0 IoCreateStreamFileObjectEx
        677  29D 006456B0 IoCreateStreamFileObjectEx2
        678  29E 00645670 IoCreateStreamFileObjectLite
        679  29F 00690C20 IoCreateSymbolicLink
        680  2A0 0081ABF0 IoCreateSynchronizationEvent
        681  2A1 006F1A30 IoCreateSystemThread
        682  2A2 0081AC90 IoCreateUnprotectedSymbolicLink
        683  2A3 0012BF40 IoCsqInitialize
        684  2A4 001343A0 IoCsqInitializeEx
        685  2A5 00116890 IoCsqInsertIrp
        686  2A6 001168B0 IoCsqInsertIrpEx
        687  2A7 0016A4E0 IoCsqRemoveIrp
        688  2A8 00116E90 IoCsqRemoveNextIrp
        689  2A9 0027F830 IoDecrementKeepAliveCount
        690  2AA 006888D0 IoDeleteController
        691  2AB 000F3B70 IoDeleteDevice
        692  2AC 006888D0 IoDeleteDriver
        693  2AD 00702A50 IoDeleteSymbolicLink
        694  2AE 000F3AE0 IoDetachDevice
        695  2AF 0053FBC4 IoDeviceHandlerObjectSize
        696  2B0 00540D50 IoDeviceHandlerObjectType
        697  2B1 0053F818 IoDeviceObjectType
        698  2B2 0070B880 IoDisconnectInterrupt
        699  2B3 0070B800 IoDisconnectInterruptEx
        700  2B4 0053F440 IoDriverObjectType
        701  2B5 008221D0 IoDuplicateDependency
        702  2B6 0081ACF0 IoEnqueueIrp
        703  2B7 0016B4C0 IoEnumerateDeviceObjectList
        704  2B8 00700890 IoEnumerateRegisteredFiltersList
        705  2B9 0081AD10 IoFastQueryNetworkAttributes
        706  2BA 0053F308 IoFileObjectType
        707  2BB 00676E00 IoForwardAndCatchIrp
        708  2BC 00676E00 IoForwardIrpSynchronously
        709  2BD 0027E470 IoFreeController
        710  2BE 0027E4B0 IoFreeErrorLogEntry
        711  2BF 00030EF0 IoFreeIrp
        712  2C0 000C8DD0 IoFreeMdl
        713  2C1 006BBA20 IoFreeMiniCompletionPacket
        714  2C2 0027E510 IoFreeSfioStreamIdentifier
        715  2C3 001285D0 IoFreeWorkItem
        716  2C4 000FFB50 IoGetActivityIdIrp
        717  2C5 00135F00 IoGetActivityIdThread
        718  2C6 00280350 IoGetAdapterCryptoEngineExtension
        719  2C7 0018ECD0 IoGetAffinityInterrupt
        720  2C8 00030ED0 IoGetAttachedDevice
        721  2C9 00004300 IoGetAttachedDeviceReference
        722  2CA 000478C0 IoGetBaseFileSystemDeviceObject
        723  2CB 0081AD50 IoGetBootDiskInformation
        724  2CC 0071B1C0 IoGetBootDiskInformationLite
        725  2CD 007033B0 IoGetConfigurationInformation
        726  2CE 00711C80 IoGetContainerInformation
        727  2CF 000D22D0 IoGetCurrentProcess
        728  2D0 000DA970 IoGetDeviceAttachmentBaseRef
        729  2D1 00823300 IoGetDeviceDirectory
        730  2D2 006C83C0 IoGetDeviceInterfaceAlias
        731  2D3 00822ED0 IoGetDeviceInterfacePropertyData
        732  2D4 00698D70 IoGetDeviceInterfaces
        733  2D5 00753E70 IoGetDeviceNumaNode
        734  2D6 0061C090 IoGetDeviceObjectPointer
        735  2D7 0066F150 IoGetDeviceProperty
        736  2D8 00698710 IoGetDevicePropertyData
        737  2D9 0027E610 IoGetDeviceToVerify
        738  2DA 001680E0 IoGetDiskDeviceObject
        739  2DB 00749B60 IoGetDmaAdapter
        740  2DC 00823700 IoGetDriverDirectory
        741  2DD 001310C0 IoGetDriverObjectExtension
        742  2DE 0066BAA0 IoGetFileObjectGenericMapping
        743  2DF 000FF5F0 IoGetFsTrackOffsetState
        744  2E0 00280390 IoGetFsZeroingOffset
        745  2E1 0015AE50 IoGetGenericIrpExtension
        746  2E2 0081AD80 IoGetInitialStack
        747  2E3 00134DF0 IoGetInitiatorProcess
        748  2E4 0010E110 IoGetIoAttributionHandle
        749  2E5 00107E70 IoGetIoPriorityHint
        750  2E6 007576C0 IoGetIommuInterface
        751  2E7 005BB4F0 IoGetIrpExtraCreateParameter
        752  2E8 00130B60 IoGetLowerDeviceObject
        753  2E9 0027E620 IoGetOplockKeyContext
        754  2EA 000D80B0 IoGetOplockKeyContextEx
        755  2EB 00116980 IoGetPagingIoPriority
        756  2EC 000373B0 IoGetRelatedDeviceObject
        757  2ED 0010B670 IoGetRequestorProcess
        758  2EE 001918E0 IoGetRequestorProcessId
        759  2EF 00134840 IoGetRequestorSessionId
        760  2F0 0027E650 IoGetSfioStreamIdentifier
        761  2F1 000D87E0 IoGetSilo
        762  2F2 00116860 IoGetSiloParameters
        763  2F3 0009F460 IoGetStackLimits
        764  2F4 0081BE70 IoGetSymlinkSupportInformation
        765  2F5 00047490 IoGetTopLevelIrp
        766  2F6 00106A50 IoGetTransactionParameterBlock
        767  2F7 0027F960 IoIncrementKeepAliveCount
        768  2F8 001178E0 IoInitializeIrp
        769  2F9 00165370 IoInitializeIrpEx
        770  2FA 0081B9D0 IoInitializeMiniCompletionPacket
        771  2FB 0016AE00 IoInitializeRemoveLockEx
        772  2FC 0081ADA0 IoInitializeTimer
        773  2FD 00124590 IoInitializeWorkItem
        774  2FE 0015DC40 IoInvalidateDeviceRelations
        775  2FF 001749C0 IoInvalidateDeviceState
        776  300 00115540 IoIrpHasFsTrackOffsetExtensionType
        777  301 000D1660 IoIs32bitProcess
        778  302 00116C40 IoIsActivityTracingEnabled
        779  303 00695C70 IoIsFileObjectIgnoringSharing
        780  304 0012A820 IoIsFileOriginRemote
        781  305 0013DE80 IoIsInitiator32bitProcess
        782  306 000D6BC0 IoIsOperationSynchronous
        783  307 00120610 IoIsSystemThread
        784  308 00924C30 IoIsValidIrpStatus
        785  309 0081BEC0 IoIsValidNameGraftingBuffer
        786  30A 00822F10 IoIsWdmVersionAvailable
        787  30B 0027B5D0 IoLoadCrashDumpDriver
        788  30C 00167200 IoMakeAssociatedIrp
        789  30D 000FF2B0 IoMakeAssociatedIrpEx
        790  30E 00824310 IoOpenDeviceInterfaceRegistryKey
        791  30F 00679FE0 IoOpenDeviceRegistryKey
        792  310 0074ADA0 IoOpenDriverRegistryKey
        793  311 0015ECB0 IoPageRead
        794  312 000FF590 IoPropagateActivityIdToThread
        795  313 000FF6D0 IoPropagateIrpExtension
        796  314 000FF6F0 IoPropagateIrpExtensionEx
        797  315 0070D320 IoQueryDeviceDescription
        798  316 0061BD30 IoQueryFileDosDeviceName
        799  317 00694410 IoQueryFileInformation
        800  318 0018F840 IoQueryFullDriverPath
        801  319 0081AE50 IoQueryInformationByName
        802  31A 00749D00 IoQueryInterface
        803  31B 00694590 IoQueryVolumeInformation
        804  31C 0015F4A0 IoQueueThreadIrp
        805  31D 00125B60 IoQueueWorkItem
        806  31E 000961E0 IoQueueWorkItemEx
        807  31F 0027FAB0 IoQueueWorkItemToNode
        808  320 0027E690 IoRaiseHardError
        809  321 0027E940 IoRaiseInformationalHardError
        810  322 00815730 IoReadDiskSignature
        811  323 00432858 IoReadOperationCount
        812  324 00815830 IoReadPartitionTable
        813  325 00815A10 IoReadPartitionTableEx
        814  326 00432868 IoReadTransferCount
        815  327 0013A040 IoRecordIoAttribution
        816  328 00756E40 IoRegisterBootDriverCallback
        817  329 0074C370 IoRegisterBootDriverReinitialization
        818  32A 00753B90 IoRegisterContainerNotification
        819  32B 006FDBE0 IoRegisterDeviceInterface
        820  32C 0074C3F0 IoRegisterDriverReinitialization
        821  32D 00700FB0 IoRegisterFileSystem
        822  32E 0081B150 IoRegisterFsRegistrationChange
        823  32F 0074F730 IoRegisterFsRegistrationChangeMountAware
        824  330 0081C710 IoRegisterIoTracking
        825  331 00745C50 IoRegisterLastChanceShutdownNotification
        826  332 006F6E40 IoRegisterPlugPlayNotification
        827  333 001867F0 IoRegisterPriorityCallback
        828  334 00745CD0 IoRegisterShutdownNotification
        829  335 000F09B0 IoReleaseCancelSpinLock
        830  336 0016B6C0 IoReleaseRemoveLockAndWaitEx
        831  337 0011B5A0 IoReleaseRemoveLockEx
        832  338 001308B0 IoReleaseVpbSpinLock
        833  339 006449E0 IoRemoveLinkShareAccess
        834  33A 006449C0 IoRemoveShareAccess
        835  33B 0081B170 IoReplaceFileObjectName
        836  33C 00822F50 IoReplacePartitionUnit
        837  33D 00724CA0 IoReportDetectedDevice
        838  33E 009C39D0 IoReportHalResourceUsage
        839  33F 00157080 IoReportInterruptActive
        840  340 00157920 IoReportInterruptInactive
        841  341 008249F0 IoReportResourceForDetection
        842  342 00824BE0 IoReportResourceUsage
        843  343 0074CA20 IoReportRootDevice
        844  344 006F1EF0 IoReportTargetDeviceChange
        845  345 00135B60 IoReportTargetDeviceChangeAsynchronous
        846  346 00283130 IoRequestDeviceEject
        847  347 00283150 IoRequestDeviceEjectEx
        848  348 008250C0 IoRequestDeviceRemovalForReset
        849  349 00822300 IoReserveDependency
        850  34A 001842E0 IoResolveDependency
        851  34B 00107C60 IoRetrievePriorityInfo
        852  34C 000FF870 IoReuseIrp
        853  34D 000FFA40 IoSetActivityIdIrp
        854  34E 00135D40 IoSetActivityIdThread
        855  34F 002803D0 IoSetAdapterCryptoEngineExtension
        856  350 0012C0B0 IoSetCompletionRoutineEx
        857  351 00822390 IoSetDependency
        858  352 006FE610 IoSetDeviceInterfacePropertyData
        859  353 00703710 IoSetDeviceInterfaceState
        860  354 006FAFC0 IoSetDevicePropertyData
        861  355 0027ECA0 IoSetDeviceToVerify
        862  356 0081B250 IoSetFileObjectIgnoreSharing
        863  357 0015D8B0 IoSetFileOrigin
        864  358 00280420 IoSetFsTrackOffsetState
        865  359 00280480 IoSetFsZeroingOffset
        866  35A 002804C0 IoSetFsZeroingOffsetRequired
        867  35B 0013EE40 IoSetGenericIrpExtension
        868  35C 0027ECB0 IoSetHardErrorOrVerifyDevice
        869  35D 006F37D0 IoSetInformation
        870  35E 0027ECD0 IoSetIoAttributionIrp
        871  35F 00640A60 IoSetIoCompletion
        872  360 000449F0 IoSetIoCompletionEx
        873  361 00112C80 IoSetIoPriorityHint
        874  362 0027ED10 IoSetIoPriorityHintIntoFileObject
        875  363 000C13D0 IoSetIoPriorityHintIntoThread
        876  364 006650F0 IoSetIrpExtraCreateParameter
        877  365 00644A70 IoSetLinkShareAccess
        878  366 00113100 IoSetMasterIrpStatus
        879  367 00815AC0 IoSetPartitionInformation
        880  368 00815BB0 IoSetPartitionInformationEx
        881  369 00644410 IoSetShareAccess
        882  36A 006F9780 IoSetShareAccessEx
        883  36B 001919F0 IoSetStartIoAttributes
        884  36C 0081B280 IoSetSystemPartition
        885  36D 00137C30 IoSetThreadHardErrorMode
        886  36E 00047470 IoSetTopLevelIrp
        887  36F 0027ED50 IoSizeOfIrpEx
        888  370 00280520 IoSizeofGenericIrpExtension
        889  371 001281A0 IoSizeofWorkItem
        890  372 0027ED90 IoStartNextPacket
        891  373 0027EDD0 IoStartNextPacketByKey
        892  374 0027EE20 IoStartPacket
        893  375 0027EF90 IoStartTimer
        894  376 005588C0 IoStatisticsLock
        895  377 00821E70 IoSteerInterrupt
        896  378 0027EFC0 IoStopTimer
        897  379 00122DA0 IoSynchronousCallDriver
        898  37A 00128270 IoSynchronousPageWrite
        899  37B 00156450 IoTestDependency
        900  37C 000043E0 IoThreadToProcess
        901  37D 0015DFF0 IoTransferActivityId
        902  37E 002834E0 IoTranslateBusAddress
        903  37F 0013FC70 IoTryQueueWorkItem
        904  380 0012C230 IoUninitializeWorkItem
        905  381 009DD3F0 IoUnregisterBootDriverCallback
        906  382 0081BDB0 IoUnregisterContainerNotification
        907  383 006FAA30 IoUnregisterFileSystem
        908  384 0081B410 IoUnregisterFsRegistrationChange
        909  385 0081C820 IoUnregisterIoTracking
        910  386 006F1970 IoUnregisterPlugPlayNotification
        911  387 00712EB0 IoUnregisterPlugPlayNotificationEx
        912  388 0027EFE0 IoUnregisterPriorityCallback
        913  389 0056C2E0 IoUnregisterShutdownNotification
        914  38A 00620420 IoUpdateLinkShareAccess
        915  38B 006F4EC0 IoUpdateShareAccess
        916  38C 0013FE20 IoValidateDeviceIoControlAccess
        917  38D 006F8AF0 IoVerifyPartitionTable
        918  38E 0081B4C0 IoVerifyVolume
        919  38F 0081C8E0 IoVolumeDeviceNameToGuid
        920  390 006A7BF0 IoVolumeDeviceNameToGuidPath
        921  391 0061BDE0 IoVolumeDeviceToDosName
        922  392 006A7A10 IoVolumeDeviceToGuid
        923  393 006A7AA0 IoVolumeDeviceToGuidPath
        924  394 008B03A0 IoWMIAllocateInstanceIds
        925  395 00711790 IoWMIDeviceObjectToInstanceName
        926  396 00129020 IoWMIDeviceObjectToProviderId
        927  397 008B04F0 IoWMIExecuteMethod
        928  398 00711710 IoWMIHandleToInstanceName
        929  399 006A26F0 IoWMIOpenBlock
        930  39A 00752E80 IoWMIQueryAllData
        931  39B 008B0670 IoWMIQueryAllDataMultiple
        932  39C 006A24B0 IoWMIQuerySingleInstance
        933  39D 008B0740 IoWMIQuerySingleInstanceMultiple
        934  39E 0067D7B0 IoWMIRegistrationControl
        935  39F 007034A0 IoWMISetNotificationCallback
        936  3A0 008B0820 IoWMISetSingleInstance
        937  3A1 008B0930 IoWMISetSingleItem
        938  3A2 008B0A60 IoWMISuggestInstanceName
        939  3A3 001098E0 IoWMIWriteEvent
        940  3A4 001069D0 IoWithinStackLimits
        941  3A5 0016B2F0 IoWriteErrorLogEntry
        942  3A6 0043285C IoWriteOperationCount
        943  3A7 00815C70 IoWritePartitionTable
        944  3A8 00815DE0 IoWritePartitionTableEx
        945  3A9 00432870 IoWriteTransferCount
        946  3AA 00037B40 IofCallDriver
        947  3AB 0003F780 IofCompleteRequest
        948  3AC 00287240 KdAcquireDebuggerLock
        949  3AD 002873B0 KdChangeOption
        950  3AE 0041F172 KdDebuggerEnabled
        951  3AF 0041F173 KdDebuggerNotPresent
        952  3B0 00286FE0 KdDeregisterPowerHandler
        953  3B1 00191290 KdDisableDebugger
        954  3B2 00287420 KdEnableDebugger
        955  3B3 0042D7E0 KdEnteredDebugger
        956  3B4 0041F170 KdEventLoggingEnabled
        957  3B5 00191BB0 KdGetDebugDevice
        958  3B6 00915F20 KdLogDbgPrint
        959  3B7 00288080 KdPollBreakIn
        960  3B8 00287620 KdPowerTransition
        961  3B9 00287640 KdPowerTransitionEx
        962  3BA 00191A10 KdRefreshDebuggerNotPresent
        963  3BB 00287110 KdRegisterPowerHandler
        964  3BC 002877E0 KdReleaseDebuggerLock
        965  3BD 009140F0 KdSetEventLoggingPresent
        966  3BE 00840BC0 KdSystemDebugControl
        967  3BF 000CBAD0 KeAcquireGuardedMutex
        968  3C0 002884E0 KeAcquireGuardedMutexUnsafe
        969  3C1 0000FE60 KeAcquireInStackQueuedSpinLock
        970  3C2 000104B0 KeAcquireInStackQueuedSpinLockAtDpcLevel
        971  3C3 0028C070 KeAcquireInStackQueuedSpinLockForDpc
        972  3C4 0028BBC0 KeAcquireInStackQueuedSpinLockRaiseToSynch
        973  3C5 0012C440 KeAcquireInterruptSpinLock
        974  3C6 000D6CA0 KeAcquireQueuedSpinLock
        975  3C7 0028BC30 KeAcquireQueuedSpinLockRaiseToSynch
        976  3C8 000A7A70 KeAcquireSpinLockAtDpcLevel
        977  3C9 0028C0C0 KeAcquireSpinLockForDpc
        978  3CA 000D56C0 KeAcquireSpinLockRaiseToDpc
        979  3CB 0028C200 KeAcquireSpinLockRaiseToSynch
        980  3CC 00289730 KeAddGroupAffinityEx
        981  3CD 000A73E0 KeAddProcessorAffinityEx
        982  3CE 00289750 KeAddProcessorGroupAffinity
        983  3CF 00740680 KeAddSystemServiceTable
        984  3D0 0028C4A0 KeAddTriageDumpDataBlock
        985  3D1 000C7F10 KeAlertThread
        986  3D2 0074C9E0 KeAllocateCalloutStack
        987  3D3 00700B30 KeAllocateCalloutStackEx
        988  3D4 000A7EF0 KeAndAffinityEx
        989  3D5 00168960 KeAndGroupAffinityEx
        990  3D6 0009F400 KeAreAllApcsDisabled
        991  3D7 000D0860 KeAreApcsDisabled
        992  3D8 00129AB0 KeAttachProcess
        993  3D9 001B8290 KeBugCheck
        994  3DA 001B82B0 KeBugCheckEx
        995  3DB 00046A50 KeCancelTimer
        996  3DC 000EE630 KeCancelTimer2
        997  3DD 0027DAE0 KeCapturePersistentThreadState
        998  3DE 000A7430 KeCheckProcessorAffinityEx
        999  3DF 00020CB0 KeCheckProcessorGroupAffinity
       1000  3E0 000D4F80 KeClearEvent
       1001  3E1 000A22F0 KeClockInterruptNotify
       1002  3E2 00289CD0 KeClockTimerPowerChange
       1003  3E3 000A8090 KeComplementAffinityEx
       1004  3E4 001744E0 KeConnectInterruptForHal
       1005  3E5 0028A040 KeConvertAuxiliaryCounterToPerformanceCounter
       1006  3E6 0028A060 KeConvertPerformanceCounterToAuxiliaryCounter
       1007  3E7 000E91C0 KeCopyAffinityEx
       1008  3E8 000E9110 KeCountSetBitsAffinityEx
       1009  3E9 0028E600 KeCountSetBitsGroupAffinity
       1010  3EA 000318F0 KeDelayExecutionThread
       1011  3EB 0028A080 KeDeregisterBoundCallback
       1012  3EC 0028D410 KeDeregisterBugCheckCallback
       1013  3ED 00174540 KeDeregisterBugCheckReasonCallback
       1014  3EE 0028A160 KeDeregisterNmiCallback
       1015  3EF 008424B0 KeDeregisterProcessorChangeCallback
       1016  3F0 00130380 KeDetachProcess
       1017  3F1 0028E710 KeDispatchSecondaryInterrupt
       1018  3F2 0053F2CB KeDynamicPartitioningSupported
       1019  3F3 00031540 KeEnterCriticalRegion
       1020  3F4 000D2390 KeEnterGuardedRegion
       1021  3F5 0028D500 KeEnterKernelDebugger
       1022  3F6 000A7580 KeEnumerateNextProcessor
       1023  3F7 00134AE0 KeExpandKernelStackAndCallout
       1024  3F8 0009E340 KeExpandKernelStackAndCalloutEx
       1025  3F9 009DAE40 KeFindConfigurationEntry
       1026  3FA 009DAE70 KeFindConfigurationNextEntry
       1027  3FB 00289770 KeFindFirstSetLeftAffinityEx
       1028  3FC 00122A60 KeFindFirstSetLeftGroupAffinity
       1029  3FD 002897B0 KeFindFirstSetRightAffinityEx
       1030  3FE 000F8620 KeFindFirstSetRightGroupAffinity
       1031  3FF 001286A0 KeFirstGroupAffinityEx
       1032  400 001721F0 KeFlushCurrentTbImmediately
       1033  401 0017E5E0 KeFlushEntireTb
       1034  402 0011ADD0 KeFlushIoBuffers
       1035  403 000BE0A0 KeFlushQueuedDpcs
       1036  404 0056D200 KeForceEnableNx
       1037  405 006FA3C0 KeFreeCalloutStack
       1038  406 0011D4E0 KeGenericCallDpc
