Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

        136   80 000CBB50 ExAcquireCacheAwarePushLockExclusive
        137   81 00315F60 ExAcquireCacheAwarePushLockExclusiveEx
        138   82 000325A0 ExAcquireCacheAwarePushLockSharedEx
        139   83 00032400 ExAcquireFastMutex
        140   84 000D6DD0 ExAcquireFastMutexUnsafe
        141   85 00163960 ExAcquireFastResourceExclusive
        142   86 001641F0 ExAcquireFastResourceShared
        143   87 00163FC0 ExAcquireFastResourceSharedStarveExclusive
        144   88 00032B40 ExAcquirePushLockExclusiveEx
        145   89 00032CF0 ExAcquirePushLockSharedEx
        146   8A 000344C0 ExAcquireResourceExclusiveLite
        147   8B 00034730 ExAcquireResourceSharedLite
        148   8C 001080D0 ExAcquireRundownProtection
        149   8D 00108080 ExAcquireRundownProtectionCacheAware
        150   8E 000AAEC0 ExAcquireRundownProtectionCacheAwareEx
        151   8F 000AAE90 ExAcquireRundownProtectionEx
        152   90 00116B80 ExAcquireSharedStarveExclusive
        153   91 00164510 ExAcquireSharedWaitForExclusive
        154   92 0003ABA0 ExAcquireSpinLockExclusive
        155   93 0000A4C0 ExAcquireSpinLockExclusiveAtDpcLevel
        156   94 0001B460 ExAcquireSpinLockShared
        157   95 0001ADF0 ExAcquireSpinLockSharedAtDpcLevel
        158   96 001656F0 ExAllocateAutoExpandPushLock
        159   97 0018CA50 ExAllocateCacheAwarePushLock
        160   98 00645AB0 ExAllocateCacheAwareRundownProtection
        161   99 001340E0 ExAllocatePool
        162   9A 00315710 ExAllocatePoolWithQuota
        163   9B 0009B330 ExAllocatePoolWithQuotaTag
        164   9C 00347010 ExAllocatePoolWithTag
        165   9D 00038180 ExAllocatePoolWithTagPriority
